Date;Open;High;Low;Close;Number of Shares;Number of Trades;Turnover
03/03/2022;6488.25;6543.77;6361.60;6378.37;0;0;5216635839
04/03/2022;6308.34;6321.09;6061.66;6061.66;0;0;7252760112
07/03/2022;5887.83;6115.23;5756.38;5982.27;0;0;8268926162
08/03/2022;5906.62;6169.60;5903.10;5962.96;0;0;7374376921
09/03/2022;6131.28;6387.83;6122.80;6387.83;0;0;8311131052
10/03/2022;6376.57;6380.77;6166.11;6207.20;0;0;5993192753
11/03/2022;6233.12;6466.12;6165.41;6260.25;0;0;5731946123
14/03/2022;6298.96;6421.08;6271.82;6369.94;0;0;4930098747
15/03/2022;6294.72;6383.75;6206.05;6355.00;0;0;4813226018
16/03/2022;6484.33;6680.00;6481.70;6588.64;0;0;6404496461
17/03/2022;6617.23;6635.31;6530.79;6612.52;0;0;4549654655
18/03/2022;6613.95;6620.24;6499.59;6620.24;0;0;10657965143
21/03/2022;6608.79;6642.46;6574.07;6582.33;0;0;3516917642
22/03/2022;6586.65;6666.84;6578.91;6659.41;0;0;3787914542
23/03/2022;6674.68;6684.70;6559.31;6581.43;0;0;3671821055
24/03/2022;6593.15;6636.58;6541.32;6555.77;0;0;3905286893
25/03/2022;6569.45;6615.90;6538.80;6553.68;0;0;3519273236
28/03/2022;6578.72;6683.70;6572.01;6589.11;0;0;3513630858
29/03/2022;6675.15;6829.40;6658.78;6792.16;0;0;5233337292
30/03/2022;6771.09;6771.09;6705.69;6741.59;0;0;3827956330
31/03/2022;6759.42;6776.13;6658.74;6659.87;0;0;3966931692
01/04/2022;6672.98;6708.56;6635.27;6684.31;0;0;2997237408
04/04/2022;6709.60;6745.22;6641.61;6731.37;0;0;3025597345
05/04/2022;6731.34;6743.62;6603.44;6645.51;0;0;4294430504
06/04/2022;6634.83;6643.75;6442.44;6498.83;0;0;4556015391
07/04/2022;6530.82;6582.34;6451.10;6461.68;0;0;4178697872
08/04/2022;6540.20;6581.56;6494.63;6548.22;0;0;3698386611
11/04/2022;6558.53;6614.96;6502.14;6555.81;0;0;3675014380
12/04/2022;6454.25;6570.75;6424.97;6537.41;0;0;3876247041
13/04/2022;6519.16;6563.96;6478.45;6542.14;0;0;3335225223
14/04/2022;6557.66;6607.55;6541.90;6589.35;0;0;4342765791
19/04/2022;6545.97;6566.80;6494.33;6534.79;0;0;3493738724
20/04/2022;6557.96;6636.55;6542.21;6624.91;0;0;4051040899
21/04/2022;6642.71;6757.75;6636.79;6715.10;0;0;4198828858
22/04/2022;6618.69;6654.64;6572.87;6581.42;0;0;3924190759
25/04/2022;6450.90;6512.26;6408.71;6449.38;0;0;4203294823
26/04/2022;6520.01;6535.92;6412.49;6414.57;0;0;4108578462
27/04/2022;6427.40;6474.96;6338.61;6445.26;0;0;3873103314
28/04/2022;6520.53;6575.95;6435.75;6508.14;0;0;3534142598
29/04/2022;6557.66;6601.15;6514.10;6533.77;0;0;3906348501
02/05/2022;6469.31;6474.81;6308.47;6425.61;0;0;3499440451
03/05/2022;6463.73;6507.13;6423.03;6476.18;0;0;3638880345
04/05/2022;6482.26;6494.99;6395.68;6395.68;0;0;3169083379
05/05/2022;6549.49;6558.91;6350.66;6368.40;0;0;4243600352
06/05/2022;6318.66;6322.43;6213.64;6258.36;0;0;4877107511
09/05/2022;6207.15;6260.85;6086.02;6086.02;0;0;3870166718
10/05/2022;6151.52;6206.56;6116.91;6116.91;0;0;3830788740
11/05/2022;6173.10;6269.73;6137.24;6269.73;0;0;4614731160
12/05/2022;6130.69;6238.25;6098.22;6206.26;0;0;4592543073
13/05/2022;6250.16;6363.24;6238.79;6362.68;0;0;3704938064
16/05/2022;6315.68;6369.05;6286.02;6347.77;0;0;3414567253
17/05/2022;6379.34;6448.33;6373.73;6430.19;0;0;3411096799
18/05/2022;6440.30;6455.80;6342.67;6352.94;0;0;3388752929
19/05/2022;6279.69;6288.99;6196.19;6272.71;0;0;3713115811
20/05/2022;6305.46;6377.58;6264.84;6285.24;0;0;4701187203
23/05/2022;6350.88;6358.74;6263.96;6358.74;0;0;3528637115
24/05/2022;6282.32;6322.74;6243.84;6253.14;0;0;3249737169
25/05/2022;6296.28;6319.29;6229.84;6298.64;0;0;3192173591
